Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number,Release Date,Description,Game Link
trinity fusion,,,User,,,,"Dec 15, 2023","Explore dark, sci-fi worlds and engage in fast-paced and precise combat in Trinity Fusion - a Rogue-Lite action platformer set in a sprawling, doomed multiverse.",https://www.metacritic.com/game/trinity-fusion/
emergency call the attack squad,,,Critic,,,tbd,,,
emergency call the attack squad,,,User,,,,,,
everlune,,,Critic,,,tbd,"Dec 15, 2023","A platforming game that takes place on the Moon, where the player goes through the mysterious red portals back and forth between parallel worlds to solve the puzzles and find collectibles.

• 6 levels to play through!
• Find collectibles to progress further!
• Cool retro soundtrack!",https://www.metacritic.com/game/everlune/
everlune,,,User,,,,"Dec 15, 2023","A platforming game that takes place on the Moon, where the player goes through the mysterious red portals back and forth between parallel worlds to solve the puzzles and find collectibles.

• 6 levels to play through!
• Find collectibles to progress further!
• Cool retro soundtrack!",https://www.metacritic.com/game/everlune/
metro quester,,,Critic,,,tbd,"Dec 15, 2023","It is a decadent future world built by manga artist Kazushi Hagiwara. A dungeon exploration RPG specializing in hack-and-slash. The game is full of challenging elements. There are 24 characters (8 classes), skills to enjoy combos, modifiable armaments, ""NEW GAME+"" to enjoy playing around, etc.",https://www.metacritic.com/game/metro-quester/
metro quester,,,User,,,,"Dec 15, 2023","It is a decadent future world built by manga artist Kazushi Hagiwara. A dungeon exploration RPG specializing in hack-and-slash. The game is full of challenging elements. There are 24 characters (8 classes), skills to enjoy combos, modifiable armaments, ""NEW GAME+"" to enjoy playing around, etc.",https://www.metacritic.com/game/metro-quester/
western slot machine,,,Critic,,,tbd,"Dec 15, 2023","Feel lucky today! Now, you can play the best wild casino slot anywhere and anytime. Experience the real thrill of Las Vegas! Enjoy all the fun of a Western slot machine in your hand. Place your bet, spin, and win big prizes!

Today, luck is on your side. Develop a good strategy and achieve victory!",https://www.metacritic.com/game/western-slot-machine/
western slot machine,,,User,,,,"Dec 15, 2023","Feel lucky today! Now, you can play the best wild casino slot anywhere and anytime. Experience the real thrill of Las Vegas! Enjoy all the fun of a Western slot machine in your hand. Place your bet, spin, and win big prizes!

Today, luck is on your side. Develop a good strategy and achieve victory!",https://www.metacritic.com/game/western-slot-machine/
affected the manor,PlayStation 4,PlayStation Universe,Critic,"Only a game due to the fact that one must handle a controller to experience it, Affected: The Manor is better described as a brief trip into a decently designed fun-house. There's nothing wrong with that, but there's also nothing notable about it. With no gameplay to speak of, Affected is strictly one and done.","Nov 29, 2018",50,,,
affected the manor,,,User,,,,,,
cooking simulator vr,PC,Android Central,Critic,"Like any other “X Simulator” game, the appeal of Cooking Simulator VR is admittedly niche. However, those with a passing interest in the concept will find a lot to like. Cooking Simulator VR gives players access to goof off and learn recipes in the comfort of a virtual kitchen. Anyone looking for a bit more challenge to put their skills to the test will find a surprisingly enjoyable career mode, too.","Aug 17, 2022",80,"Dec 15, 2023","Become the ultimate chef in VR! 

Take control of a highly polished, realistic kitchen equipped with all kinds of utensils and stands. Unlock and master over 80 recipes or use dozens of lifelike ingredients to cook everything you like. A simulator spiced up with a dash of real-life physics!",https://www.metacritic.com/game/cooking-simulator-vr/
cooking simulator vr,,,User,,,,"Dec 15, 2023","Become the ultimate chef in VR! 

Take control of a highly polished, realistic kitchen equipped with all kinds of utensils and stands. Unlock and master over 80 recipes or use dozens of lifelike ingredients to cook everything you like. A simulator spiced up with a dash of real-life physics!",https://www.metacritic.com/game/cooking-simulator-vr/
make love not war,,,Critic,,,tbd,"Dec 15, 2023","12 charming girls will help you relax and have fun. Girl soldiers, doctors, sailors, pilots and special agents are waiting for you!

The game has more than 50 simple puzzles that can be played with one hand.",https://www.metacritic.com/game/make-love-not-war/
make love not war,,,User,,,,"Dec 15, 2023","12 charming girls will help you relax and have fun. Girl soldiers, doctors, sailors, pilots and special agents are waiting for you!

The game has more than 50 simple puzzles that can be played with one hand.",https://www.metacritic.com/game/make-love-not-war/
farm tycoon,Nintendo Switch,Pure Nintendo,Critic,"Admittedly, Farm Tycoon’s buggy on the Switch, and missing touch screen support leaves SONKA in the hot seat. But the amount of content, and the variety therein, combined with its addictive nature, makes this a good, if sloppy, pick for genre fans.","Jun 30, 2022",70,"Dec 15, 2023","From seeds to vegetables and processed products. There are animals, meat processing plants, farming machines, workers with different skill sets, warehouses with cooling, anti-pesticides, and many more. 

A lot of different strategies can be successfully executed to make the farm profitable. You can surely make a jack-of-all-trades farm to min-max the systems, but perhaps just a fully sustainable and independent apple juice company can drive the prices up and be more profitable? Maybe using only eco-friendly energy sources will pay off in the long run, especially with the government grant? Or you just *love* beef steaks and want to make the best quality filet mignon in the world?

Any farm-related business idea seems possible in Farm Tycoon!",https://www.metacritic.com/game/farm-tycoon/
farm tycoon,Nintendo Switch,Jean_1,User,Good tycoon game about farming for all who has a lot of free time. Very addictive.,"Jul 8, 2022",6.9,"Dec 15, 2023","From seeds to vegetables and processed products. There are animals, meat processing plants, farming machines, workers with different skill sets, warehouses with cooling, anti-pesticides, and many more. 

A lot of different strategies can be successfully executed to make the farm profitable. You can surely make a jack-of-all-trades farm to min-max the systems, but perhaps just a fully sustainable and independent apple juice company can drive the prices up and be more profitable? Maybe using only eco-friendly energy sources will pay off in the long run, especially with the government grant? Or you just *love* beef steaks and want to make the best quality filet mignon in the world?

Any farm-related business idea seems possible in Farm Tycoon!",https://www.metacritic.com/game/farm-tycoon/
archery blast,,,Critic,,,tbd,"Dec 15, 2023","Archery Blast offers an ultra-realistic archery experience with stunning 3D graphics, amazing animations and simple intuitive controls. Shoot arrows at targets usually placed at different distances to complete levels.

Main Features:
* Console-quality 3D graphics and authentic shooting action
* Polished animation and realistic 3D graphics.
* Different locations: boudhist temple, sea, rain forest...
* Simple and intuitive control: hold to aim and release to shoot
* Cross over 60 levels",https://www.metacritic.com/game/archery-blast/
archery blast,,,User,,,tbd,"Dec 15, 2023","Archery Blast offers an ultra-realistic archery experience with stunning 3D graphics, amazing animations and simple intuitive controls. Shoot arrows at targets usually placed at different distances to complete levels.

Main Features:
* Console-quality 3D graphics and authentic shooting action
* Polished animation and realistic 3D graphics.
* Different locations: boudhist temple, sea, rain forest...
* Simple and intuitive control: hold to aim and release to shoot
* Cross over 60 levels",https://www.metacritic.com/game/archery-blast/
criminal expert,,,Critic,,,tbd,"Dec 15, 2023","In unexplained circumstances, a dazed woman appears on a forest road, found by a random driver. As a police investigator, you take on the task of explaining this mysterious event. Who is this person and what was she doing there? Will the circumstances of this case be easy to explain or is there something deeper going on in the story?

You get only three days to complete the investigation. Listen to witnesses, gather evidence, order searches and track suspects. Pay attention to every detail - the further fate of the characters depends on you.

Criminal Expert is a detective video game that puts you under the pressure of inexorably passing time. The story contains multiple selection paths, and you ultimately decide how it ends.",https://www.metacritic.com/game/criminal-expert/
criminal expert,,,User,,,,"Dec 15, 2023","In unexplained circumstances, a dazed woman appears on a forest road, found by a random driver. As a police investigator, you take on the task of explaining this mysterious event. Who is this person and what was she doing there? Will the circumstances of this case be easy to explain or is there something deeper going on in the story?

You get only three days to complete the investigation. Listen to witnesses, gather evidence, order searches and track suspects. Pay attention to every detail - the further fate of the characters depends on you.

Criminal Expert is a detective video game that puts you under the pressure of inexorably passing time. The story contains multiple selection paths, and you ultimately decide how it ends.",https://www.metacritic.com/game/criminal-expert/
galactic lords,,,Critic,,,tbd,"Dec 15, 2023",Experimental indie strategy game. Lead the four Galaxy Lords through 7 levels to discover the origin of a world-wide menace!,https://www.metacritic.com/game/galactic-lords/
galactic lords,,,User,,,,"Dec 15, 2023",Experimental indie strategy game. Lead the four Galaxy Lords through 7 levels to discover the origin of a world-wide menace!,https://www.metacritic.com/game/galactic-lords/
granblue fantasy versus rising,PlayStation 5,PlayStation Universe,Critic,"There is a lot to love about Granblue Fantasy Versus Rising. From its excellent story mode, simple yet complex combat that's made accessible to every type of player. But what steels the show is the extremely fun Grand Brute mode. There is a lot to love about Granblue Fantasy Versus Rising, and it's easily the sleeper-hit fighting game this year.","Dec 16, 2023",81,,,
granblue fantasy versus rising,,,User,,,6.4,,,
granblue fantasy versus rising,,,User,,,,,,
gnosia,Nintendo Switch,Digitally Downloaded,Critic,"Gnosia might not be a new concept – there are so many video games out there that feature death games with deception at the core of them. Last year’s Quantum Suicide even set the scene in space and had a less-than-benevolent AI pulling many of the strings, just like Gnosia does. But Gnosia is something rare: it is really, truly different. The developers wanted to take this common-enough concept and craft something that was truly their own, and not only have you got here a game that you won’t forget in a hurry, it’s also going to have you actively thinking about just how smart it is for some time to come.","Mar 10, 2021",82,"Dec 14, 2023","The crew of a drifting spaceship, facing off against a mysterious and deadly threat known as the ""Gnosia"" and having no idea who among them is really the enemy, formulate a desperate plan for survival. The most suspicious among them will be put into ""cold sleep"" one by one, in an effort to rid the ship of Gnosia.

Gnosia is a Sci-Fi Social Deduction RPG in which you will engage in discussion with a variety of unique characters, with the aim of identifying the Gnosia among the group. Players will have to use what information they can gather during the discussions to ascertain whom they think is Gnosia and then vote to put them into cold sleep. As you progress, your abilities will improve - but so will those of the crew.

As the numbers of crew members, Gnosia, and various ""roles"" increase, it will become increasingly difficult to determine who is telling the truth. Work in collaboration with or against other crew members to ensure your survival until the end.",https://www.metacritic.com/game/gnosia/
gnosia,Nintendo Switch,Nintenderos,Critic,"Gnosia is a great Game. Releasing in the West, this title invites us to use logic to find the infiltrator in games with loops that last fifteen minutes and that end up telling a well-crafted bigger story with an incredible atmosphere.","Mar 4, 2021",90,"Dec 14, 2023","The crew of a drifting spaceship, facing off against a mysterious and deadly threat known as the ""Gnosia"" and having no idea who among them is really the enemy, formulate a desperate plan for survival. The most suspicious among them will be put into ""cold sleep"" one by one, in an effort to rid the ship of Gnosia.

Gnosia is a Sci-Fi Social Deduction RPG in which you will engage in discussion with a variety of unique characters, with the aim of identifying the Gnosia among the group. Players will have to use what information they can gather during the discussions to ascertain whom they think is Gnosia and then vote to put them into cold sleep. As you progress, your abilities will improve - but so will those of the crew.

As the numbers of crew members, Gnosia, and various ""roles"" increase, it will become increasingly difficult to determine who is telling the truth. Work in collaboration with or against other crew members to ensure your survival until the end.",https://www.metacritic.com/game/gnosia/
gnosia,Nintendo Switch,KazuraCollins88,User,"This is one of THE BEST games I've played. For real, I obsessed with it for days.","Mar 26, 2022",8.4,"Dec 14, 2023","The crew of a drifting spaceship, facing off against a mysterious and deadly threat known as the ""Gnosia"" and having no idea who among them is really the enemy, formulate a desperate plan for survival. The most suspicious among them will be put into ""cold sleep"" one by one, in an effort to rid the ship of Gnosia.

Gnosia is a Sci-Fi Social Deduction RPG in which you will engage in discussion with a variety of unique characters, with the aim of identifying the Gnosia among the group. Players will have to use what information they can gather during the discussions to ascertain whom they think is Gnosia and then vote to put them into cold sleep. As you progress, your abilities will improve - but so will those of the crew.

As the numbers of crew members, Gnosia, and various ""roles"" increase, it will become increasingly difficult to determine who is telling the truth. Work in collaboration with or against other crew members to ensure your survival until the end.",https://www.metacritic.com/game/gnosia/
gnosia,Nintendo Switch,Felipecrit,User,"I loved this game, i can say it moved me. A great adventure with multiple plot twists and intresting characters. Outstanding mechanics that make the discutions really fun and challenging, but also rewarding. Loved the last hours of the game which elevate the whole experience even more. If you're pacient and like a good story with great characters, please do yourself a favour and play this game","Apr 20, 2021",10,"Dec 14, 2023","The crew of a drifting spaceship, facing off against a mysterious and deadly threat known as the ""Gnosia"" and having no idea who among them is really the enemy, formulate a desperate plan for survival. The most suspicious among them will be put into ""cold sleep"" one by one, in an effort to rid the ship of Gnosia.

Gnosia is a Sci-Fi Social Deduction RPG in which you will engage in discussion with a variety of unique characters, with the aim of identifying the Gnosia among the group. Players will have to use what information they can gather during the discussions to ascertain whom they think is Gnosia and then vote to put them into cold sleep. As you progress, your abilities will improve - but so will those of the crew.

As the numbers of crew members, Gnosia, and various ""roles"" increase, it will become increasingly difficult to determine who is telling the truth. Work in collaboration with or against other crew members to ensure your survival until the end.",https://www.metacritic.com/game/gnosia/
not for broadcast vr,PC,Road to VR,Critic,"There's no denying the underlying game is fantastic, as Not For Broadcast confronts you with moral quandaries as you slowly become a well-oiled cog in a dystopian propaganda machine. While the game's binary button pushing wasn't as VR-native as we would have liked, the base game translates extremely well to VR, feeling decidedly more at home on VR headsets than on flatscreen monitors.","Mar 20, 2023",85,"Dec 14, 2023","Get closer to the truth than ever in the VR edition of Not For Broadcast. Keep the cameras rolling, censor the swears and immerse yourself in the powerful, alluring and occasionally deadly world of broadcast television news.",https://www.metacritic.com/game/not-for-broadcast-vr/
not for broadcast vr,,,User,,,,"Dec 14, 2023","Get closer to the truth than ever in the VR edition of Not For Broadcast. Keep the cameras rolling, censor the swears and immerse yourself in the powerful, alluring and occasionally deadly world of broadcast television news.",https://www.metacritic.com/game/not-for-broadcast-vr/
kemco rpg selection vol 11,,,Critic,,,tbd,,,
kemco rpg selection vol 11,,,User,,,,,,
cookie cutter,PlayStation 5,Digital Chumps,Critic,Cookie Cutter is hyper-violent translation of old-school Metroidvanias that gracefully does not allow itself to get bogged down with convoluted modern flourishes. Exploration tools drop the player into a satisfying progression loop that doesn’t rely on random elements and combat is not overtly punishing. But it’s Cookie Cutter‘s unique visual palette and uncompromising absurdity that truly leave a bloody impression before ever allowing itself to grow stale.,"Dec 14, 2023",77,"Dec 14, 2023","Inside a dark and cold lab hidden deep under the surface of the infamous Megastructure, the mechanic Raz searches for his missing friend Doctor Shinji Fallon, but instead finds a ruined lab and a nearly-destroyed Denzel android who awakens from a life-preserving slumber. Her name is Cherry.

Love turns to rage and chainsaws in Cookie Cutter, a techno-pop-punk 2D hand-drawn Metroidvania set to the backdrop of a bleak and beautiful dying world. 

Become Cherry, a rage-driven android on a quest to rescue her beloved creator, Doctor Shinji Fallon, from the clutches of a deranged mastermind.",https://www.metacritic.com/game/cookie-cutter/
cookie cutter,PlayStation 5,Hobby Consolas,Critic,"Cookie Cutter is not just another metroidvania. Like so many others, it manages to find its place with its own ideas and aesthetics, that doesn't ""hold back"" and lets its gore and hyperviolent touch flow, with a macabre and punk humor. Too bad that some aspects need a little polishing, because it is fun and manages to catch.","Dec 16, 2023",82,"Dec 14, 2023","Inside a dark and cold lab hidden deep under the surface of the infamous Megastructure, the mechanic Raz searches for his missing friend Doctor Shinji Fallon, but instead finds a ruined lab and a nearly-destroyed Denzel android who awakens from a life-preserving slumber. Her name is Cherry.

Love turns to rage and chainsaws in Cookie Cutter, a techno-pop-punk 2D hand-drawn Metroidvania set to the backdrop of a bleak and beautiful dying world. 

Become Cherry, a rage-driven android on a quest to rescue her beloved creator, Doctor Shinji Fallon, from the clutches of a deranged mastermind.",https://www.metacritic.com/game/cookie-cutter/
cookie cutter,PlayStation 5,archdlx,User,"Wonderful blend of action combat and classic Metroidvania. Beautiful animation, inspiring main character and so punk rock. Highly Recommended!","Dec 19, 2023",6.5,"Dec 14, 2023","Inside a dark and cold lab hidden deep under the surface of the infamous Megastructure, the mechanic Raz searches for his missing friend Doctor Shinji Fallon, but instead finds a ruined lab and a nearly-destroyed Denzel android who awakens from a life-preserving slumber. Her name is Cherry.

Love turns to rage and chainsaws in Cookie Cutter, a techno-pop-punk 2D hand-drawn Metroidvania set to the backdrop of a bleak and beautiful dying world. 

Become Cherry, a rage-driven android on a quest to rescue her beloved creator, Doctor Shinji Fallon, from the clutches of a deranged mastermind.",https://www.metacritic.com/game/cookie-cutter/
cookie cutter,PlayStation 5,SubcultTeam,User,"Ok, I'm the director of the game ,I don't want to pretend that I'm someone else giving the game  a vote  (and I could) I'm voting 9 just to raise the media cause of that a55h0l3 that gave us zero .
XD

I wish you the worst man <3","Dec 20, 2023",9,"Dec 14, 2023","Inside a dark and cold lab hidden deep under the surface of the infamous Megastructure, the mechanic Raz searches for his missing friend Doctor Shinji Fallon, but instead finds a ruined lab and a nearly-destroyed Denzel android who awakens from a life-preserving slumber. Her name is Cherry.

Love turns to rage and chainsaws in Cookie Cutter, a techno-pop-punk 2D hand-drawn Metroidvania set to the backdrop of a bleak and beautiful dying world. 

Become Cherry, a rage-driven android on a quest to rescue her beloved creator, Doctor Shinji Fallon, from the clutches of a deranged mastermind.",https://www.metacritic.com/game/cookie-cutter/
hidden paws,,,Critic,,,tbd,"Dec 14, 2023","It's winter and cats are still outside. Cold and alone. Find them and bring them home.

Features 12+ charming winter landscapes with over 120 little cats to find.

Open cars and boxes, rummage through piles of wood, search the forests. Cats are well hidden but they meow when you get near so listen closely and you might just be able to find them all.",https://www.metacritic.com/game/hidden-paws/
hidden paws,,,User,,,,"Dec 14, 2023","It's winter and cats are still outside. Cold and alone. Find them and bring them home.

Features 12+ charming winter landscapes with over 120 little cats to find.

Open cars and boxes, rummage through piles of wood, search the forests. Cats are well hidden but they meow when you get near so listen closely and you might just be able to find them all.",https://www.metacritic.com/game/hidden-paws/
crazy chicken x,,,Critic,,,tbd,"Dec 14, 2023","Chickens are on the loose! Hiding, running, fishing, and flying - chickens are everywhere! It's up to you and your dead-eye aim to save the farm.

Moorhuhn X is back - also known as Crazy Chicken X and Chicken Hunter. The number 1 classic among the Moorhuhn shooters brings lots of shooting fun with lots of chickens and just as many puzzles. 

Moorhuhn X has topped the charts for years. Whether with mouse, touch or controller, the boredom is over from now on!",https://www.metacritic.com/game/crazy-chicken-x/
crazy chicken x,,,User,,,,"Dec 14, 2023","Chickens are on the loose! Hiding, running, fishing, and flying - chickens are everywhere! It's up to you and your dead-eye aim to save the farm.

Moorhuhn X is back - also known as Crazy Chicken X and Chicken Hunter. The number 1 classic among the Moorhuhn shooters brings lots of shooting fun with lots of chickens and just as many puzzles. 

Moorhuhn X has topped the charts for years. Whether with mouse, touch or controller, the boredom is over from now on!",https://www.metacritic.com/game/crazy-chicken-x/
five nights at freddys help wanted 2,,,Critic,,,tbd,,,
five nights at freddys help wanted 2,PlayStation 5,ggasping,User,itsa very very very very very very very very very very very very very very very good game,"Dec 19, 2023",8.8,,,
raccoo venture,Nintendo Switch,GameGrin,Critic,"Raccoo Venture is a game that is full of nostalgia for 3D platformers on the N64. With fun characters and challenging puzzles to solve, this game will keep you entertained for hours.","Dec 18, 2023",80,"Dec 14, 2023","A collectathon 3D platform game where you explore the world to find all hidden collectibles, solving secrets, puzzles and find new outfits to customize our cute hero. Special abilities will blow your mind controlling chaos and order. Recover the pieces to defeat the terrible Tattooed Tatus.",https://www.metacritic.com/game/raccoo-venture/
raccoo venture,,,User,,,,"Dec 14, 2023","A collectathon 3D platform game where you explore the world to find all hidden collectibles, solving secrets, puzzles and find new outfits to customize our cute hero. Special abilities will blow your mind controlling chaos and order. Recover the pieces to defeat the terrible Tattooed Tatus.",https://www.metacritic.com/game/raccoo-venture/
aztek tiki talisman,,,Critic,,,tbd,"Dec 14, 2023","Embark on a thrilling adventure in Aztec Tiki Talisman! Explore 50 challenging levels in the mystical Aztec jungle, battle foes, solve puzzles, and confront epic bosses. Will you find the blue talisman and unlock the portal to the next level?",https://www.metacritic.com/game/aztek-tiki-talisman/
aztek tiki talisman,,,User,,,,"Dec 14, 2023","Embark on a thrilling adventure in Aztec Tiki Talisman! Explore 50 challenging levels in the mystical Aztec jungle, battle foes, solve puzzles, and confront epic bosses. Will you find the blue talisman and unlock the portal to the next level?",https://www.metacritic.com/game/aztek-tiki-talisman/
epic roller coasters,,,Critic,,,tbd,"Dec 14, 2023","In Epic Roller Coasters you'll get the same feeling of a real roller coaster with a high level graphics, physics-based simulation. You'll go up and down seeing everything around you with our long range vision capabilities!",https://www.metacritic.com/game/epic-roller-coasters/
epic roller coasters,,,User,,,,"Dec 14, 2023","In Epic Roller Coasters you'll get the same feeling of a real roller coaster with a high level graphics, physics-based simulation. You'll go up and down seeing everything around you with our long range vision capabilities!",https://www.metacritic.com/game/epic-roller-coasters/
aero fighters,,,Critic,,,tbd,"Dec 14, 2023","The world's hope hinges on your combat skills and sheer determination as an &quot;aero fighter&quot;. Defend the world from unknown alien forces that are attempting to take over the world. You must extract these unknown forces before they can execute their plot for dominance. After conquering the unknown forces, the battle continues into space where the &quot;controlling intellect&quot; dictated the take-over attempt. You must seek and destroy this evil force to prevent it from seizing other worlds.",https://www.metacritic.com/game/aero-fighters/
aero fighters,,,User,,,,"Dec 14, 2023","The world's hope hinges on your combat skills and sheer determination as an &quot;aero fighter&quot;. Defend the world from unknown alien forces that are attempting to take over the world. You must extract these unknown forces before they can execute their plot for dominance. After conquering the unknown forces, the battle continues into space where the &quot;controlling intellect&quot; dictated the take-over attempt. You must seek and destroy this evil force to prevent it from seizing other worlds.",https://www.metacritic.com/game/aero-fighters/
custom mech wars,PlayStation 5,PSX Brasil,Critic,"Custom Mech Wars is a fun game if you like creating and testing mechs and repeating this cycle over and over again. It is a title aimed at this niche of player and, in addition, it lacks important options such as publishing your mechs online or a greater variety of scenarios in the campaign. I hope D3Publisher continues with the idea, as it has the potential to be something special.","Dec 23, 2023",53,"Dec 14, 2023","Take customization to the extreme with the Omega Customization System and battle with one-of-a-kind combat units in this all-new third-person shooter mecha game.

Not being restricted to bipedal builds, you can freely customize your mechs to include multiple heads, legs, and arms in whatever positions and angles you choose. Depending on the parts you use, the parameters will vary wildly, so you can build mechs with whatever abilities and fighting styles you wish!

Arm your custom mech to the teeth with every weapon imaginable and blast your way through oncoming enemies. Experience the heart-pounding mecha action that only your Omega Customized units can provide. Destroy enemy units, collect their parts, and customize your favorite mechs even more. Complete a variety of missions as you battle, customize, and then battle and customize some more!

Up to four players can cooperate to complete story missions just like in single-player mode. Not only can you experience the rush of tackling missions with friends, but you can show off your favorite mechs you personally customized.",https://www.metacritic.com/game/custom-mech-wars/
custom mech wars,,,User,,,,"Dec 14, 2023","Take customization to the extreme with the Omega Customization System and battle with one-of-a-kind combat units in this all-new third-person shooter mecha game.

Not being restricted to bipedal builds, you can freely customize your mechs to include multiple heads, legs, and arms in whatever positions and angles you choose. Depending on the parts you use, the parameters will vary wildly, so you can build mechs with whatever abilities and fighting styles you wish!

Arm your custom mech to the teeth with every weapon imaginable and blast your way through oncoming enemies. Experience the heart-pounding mecha action that only your Omega Customized units can provide. Destroy enemy units, collect their parts, and customize your favorite mechs even more. Complete a variety of missions as you battle, customize, and then battle and customize some more!

Up to four players can cooperate to complete story missions just like in single-player mode. Not only can you experience the rush of tackling missions with friends, but you can show off your favorite mechs you personally customized.",https://www.metacritic.com/game/custom-mech-wars/
towers and powers,,,Critic,,,tbd,,,
towers and powers,,,User,,,,,,
run show quest,,,Critic,,,tbd,"Dec 13, 2023",,https://www.metacritic.com/game/run-show-quest/
run show quest,,,User,,,,"Dec 13, 2023",,https://www.metacritic.com/game/run-show-quest/
listeria wars,Xbox Series X,TheXboxHub,Critic,"As a quick tower-defence shot in the arm, Listeria Wars just about works. There’s a cracking immune system theme, which makes a change from all the towers and turrets that we are used to. But it’s so overrun with minor issues that we eventually had to put it down.","Jun 25, 2023",50,"Dec 13, 2023","Listeria Wars is a tactical strategy where we protect the hero's body from various infections and viruses by controlling the troops of the immune system. We can observe his personal life and even influence it with side effects.

The scene of the game takes place in the body of the protagonist. We see everything that happens to him in real-time on the little screen. We have at our disposal various types of cells of the immune system, controlling which we protect the body from the attacks of harmful bacteria and viruses, as well as train the immune system. Special actions can cause side effects that affect the plot. For example, on a date with a girl, the protagonist can vomit and they break up, which makes the hero depressed.",https://www.metacritic.com/game/listeria-wars/
listeria wars,,,User,,,,"Dec 13, 2023","Listeria Wars is a tactical strategy where we protect the hero's body from various infections and viruses by controlling the troops of the immune system. We can observe his personal life and even influence it with side effects.

The scene of the game takes place in the body of the protagonist. We see everything that happens to him in real-time on the little screen. We have at our disposal various types of cells of the immune system, controlling which we protect the body from the attacks of harmful bacteria and viruses, as well as train the immune system. Special actions can cause side effects that affect the plot. For example, on a date with a girl, the protagonist can vomit and they break up, which makes the hero depressed.",https://www.metacritic.com/game/listeria-wars/
hell well,,,Critic,,,tbd,"Dec 13, 2023","Hell Well is an Action game, developed by Panda Indie Studio and published by EastAsiaSoft.",https://www.metacritic.com/game/hell-well/
hell well,,,User,,,,"Dec 13, 2023","Hell Well is an Action game, developed by Panda Indie Studio and published by EastAsiaSoft.",https://www.metacritic.com/game/hell-well/
my lovely dog adventure,,,Critic,,,tbd,"Dec 13, 2023","In this video game you play as a little dog that discovers the world on its mission to find its friend.

Travel the world as a little Corgi! You wander mysterious and different landscapes in search of your beloved friend, collecting shiny chrystals on the way.
Find out what caused the petrification of the humans and find a way to undo the curse that befell them!

This is a short emotional story-driven exploration game that will keep you interested with an immersive story and stunning environments.

What to expect:
- Exploration
- An emotional story
- Collecting chrystals
- Beautiful landscapes",https://www.metacritic.com/game/my-lovely-dog-adventure/
my lovely dog adventure,,,User,,,tbd,"Dec 13, 2023","In this video game you play as a little dog that discovers the world on its mission to find its friend.

Travel the world as a little Corgi! You wander mysterious and different landscapes in search of your beloved friend, collecting shiny chrystals on the way.
Find out what caused the petrification of the humans and find a way to undo the curse that befell them!

This is a short emotional story-driven exploration game that will keep you interested with an immersive story and stunning environments.

What to expect:
- Exploration
- An emotional story
- Collecting chrystals
- Beautiful landscapes",https://www.metacritic.com/game/my-lovely-dog-adventure/
rising dusk,Xbox Series X,TheXboxHub,Critic,"If you are in the market for a platformer that brings something new to the table, then I would hazard a guess that you have found it in Rising Dusk. It’s a charming game, and the new anti-coin mechanic just brings a little extra spice to proceedings.","Dec 17, 2023",80,"Dec 13, 2023",An Anti-Coin Collection Platformer inspired by Japanese folktales. Befriend an assortment of ghosts and ghouls as you explore the world hidden in the dusk.,https://www.metacritic.com/game/rising-dusk/
rising dusk,,,User,,,,"Dec 13, 2023",An Anti-Coin Collection Platformer inspired by Japanese folktales. Befriend an assortment of ghosts and ghouls as you explore the world hidden in the dusk.,https://www.metacritic.com/game/rising-dusk/
shot block,,,Critic,,,tbd,"Dec 13, 2023",,https://www.metacritic.com/game/shot-block/
shot block,,,User,,,,"Dec 13, 2023",,https://www.metacritic.com/game/shot-block/
hammerwatch ii,PC,Gaming Nexus,Critic,"Hammerwatch II gets into the meat of its gameplay right away. I loved looking for better gear and never felt like I wasn’t progressing toward something the entire time I played. I also loved the freedom to do side-quests when I wanted, no longer beholden to the linear story of the first Hammerwatch. Is it hard? You better believe it, but with multiple difficulty settings to choose from, anyone who is interested in Hammerwatch II won’t have a problem getting into the game. With so many new RPG games this year, it’s easy to see how Hammerwatch II could go unnoticed. While it might not look different, I challange anyone who is into the genre to spend two hours playing and not want to play more. If the developer can fix a couple of minor issues, like group loot in multiplayer games, this will hopefully find some legs to go the distance I feel it can.","Aug 14, 2023",67,"Dec 12, 2023","Blight the Horrible and his dragon army have succeeded in the sinister plot to overthrow King Roland and bring destruction across the Kingdom of Herian.

Not all is lost as hope hides deep within the sewer system, where the King's resistance movement holds strong. On the King's order, a select few of mighty and skilled heroes have been entrusted with defeating Blight's dragons and restoring the Kingdom.

Adventure alone or gather your party to aid King Roland's resistance, all while helping villagers along the way. Battle beasts, finish off hordes of the undead, and face the forces of evil in this epic ode to classic ARPG.",https://www.metacritic.com/game/hammerwatch-ii/
hammerwatch ii,,,User,,,,"Dec 12, 2023","Blight the Horrible and his dragon army have succeeded in the sinister plot to overthrow King Roland and bring destruction across the Kingdom of Herian.

Not all is lost as hope hides deep within the sewer system, where the King's resistance movement holds strong. On the King's order, a select few of mighty and skilled heroes have been entrusted with defeating Blight's dragons and restoring the Kingdom.

Adventure alone or gather your party to aid King Roland's resistance, all while helping villagers along the way. Battle beasts, finish off hordes of the undead, and face the forces of evil in this epic ode to classic ARPG.",https://www.metacritic.com/game/hammerwatch-ii/
